AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
abatteur	affixed	eur	v	action
aboyeur	affixed	eur	v	action
abuseur	affixed	eur	v	action
accompagnateur	affixed	eur	v	action
accoucheur	affixed	eur	v	action
accusateur	affixed	eur	v	action
acheteur	affixed	eur	v	action
acquéreur	affixed	eur	v	action
administrateur	affixed	eur	v	action
afficheur	affixed	eur	v	action
affréteur	affixed	eur	v	action
agioteur	affixed	eur	v	action
agresseur	affixed	eur	v	action
aiguilleur	affixed	eur	v	action
ajusteur	affixed	eur	v	action
allumeuse	affixed	eur	v	action
ambassadeur	affixed	eur	n	action
amuseur	affixed	eur	v	action
animateur	affixed	eur	v	action
annonceur	affixed	eur	v	action
annonciateur	affixed	eur	v	action
appeleur	affixed	eur	v	action
architecteur	affixed	eur	n	object
argumentateur	affixed	eur	v	action
armateur	affixed	eur	v	action
arnaqueur	affixed	eur	v	action
arnaqueuse	affixed	eur	v	action
arpenteur	affixed	eur	v	action
arrangeur	affixed	eur	v	action
assommeur	affixed	eur	v	action
assureur	affixed	eur	v	action
attrapeur	affixed	eur	v	action
auto-stoppeur	affixed	eur	n	domain
autostoppeur	affixed	eur	n	domain
autostoppeuse	affixed	eur	n	domain
avaleur	affixed	eur	v	action
avaleuse	affixed	eur	v	action
avionneur	affixed	eur	n	object
avorteur	affixed	eur	v	action
avorteuse	affixed	eur	v	action
badigeonneur	affixed	eur	v	action
bagarreur	affixed	eur	v	action
baigneur	affixed	eur	v	action
baiseur	affixed	eur	v	action
balayeur	affixed	eur	v	action
balayeuse	affixed	eur	v	action
baratineur	affixed	eur	v	action
barbouilleur	affixed	eur	v	action
baroudeur	affixed	eur	v	action
baroudeuse	affixed	eur	v	action
barreur	affixed	eur	v	action
basketteur	affixed	eur	n	domain
batailleur	affixed	eur	v	action
bateleur	affixed	eur	v	action
bâtisseur	affixed	eur	v	action
bêcheur	affixed	eur	v	action
bienfaiteur	affixed	eur	n	action
blagueur	affixed	eur	v	action
blanchisseur	affixed	eur	v	action
blasphémateur	affixed	eur	v	action
bluffeur	affixed	eur	v	action
boiseur	affixed	eur	v	action
bonimenteur	affixed	eur	v	action
bosseur	affixed	eur	v	action
botteur	affixed	eur	v	action
boucholeur	affixed	eur	n	object
boudeur	affixed	eur	v	action
boudeuse	affixed	eur	v	action
bouffeur	affixed	eur	v	action
bouilleur	affixed	eur	v	action
bouquineur	affixed	eur	v	action
bourlingueur	affixed	eur	v	action
boursicoteur	affixed	eur	v	action
boxeur	affixed	eur	v	action
boxeuse	affixed	eur	v	action
brailleur	affixed	eur	v	action
branleur	affixed	eur	v	action
braqueur	affixed	eur	v	action
braqueuse	affixed	eur	v	action
brasseur	affixed	eur	v	action
bricoleur	affixed	eur	v	action
briseur	affixed	eur	v	action
briseuse	affixed	eur	v	action
brocanteur	affixed	eur	v	action
bruiteur	affixed	eur	v	action
bûcheur	affixed	eur	v	action
buteur	affixed	eur	v	action
buveur	affixed	eur	v	action
buveuse	affixed	eur	v	action
câbleur	affixed	eur	v	action
cadreur	affixed	eur	v	action
cafteur	affixed	eur	v	action
calomniateur	affixed	eur	v	action
cambrioleur	affixed	eur	v	action
campeur	affixed	eur	v	action
cardeur	affixed	eur	v	action
carillonneur	affixed	eur	v	action
carotteur	affixed	eur	v	action
carreleur	affixed	eur	v	action
cascadeur	affixed	eur	v	action
casseur	affixed	eur	v	action
catalyseur	affixed	eur	v	action
catcheur	affixed	eur	v	action
causeur	affixed	eur	v	action
causeuse	affixed	eur	v	action
cavaleur	affixed	eur	v	action
chahuteur	affixed	eur	v	action
challengeur	affixed	eur	v	action
changeuse	affixed	eur	v	action
chanteur	affixed	eur	v	action
chapardeur	affixed	eur	v	action
charmeur	affixed	eur	v	action
charmeuse	affixed	eur	v	action
chasseur	affixed	eur	v	action
chausseur	affixed	eur	v	action
chélateur	affixed	eur	n	object
chercheur	affixed	eur	v	action
chevaucheur	affixed	eur	v	action
chicaneur	affixed	eur	v	action
chieur	affixed	eur	v	action
chiffreur	affixed	eur	v	action
