AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
aoûtien	affixed	ien	n	property
astrophysicien	affixed	ien	n	domain
astrophysicienne	affixed	ien	n	domain
cartomancien	affixed	ien	n	domain
chiromancien	affixed	ien	n	domain
chiropraticien	affixed	ien	n	domain
chirurgien	affixed	ien	n	domain
clinicien	affixed	ien	n	object
collégien	affixed	ien	n	institution
comédien	affixed	ien	n	domain
cybernéticien	affixed	ien	n	domain
dialecticien	affixed	ien	n	domain
diététicien	affixed	ien	n	domain
électricien	affixed	ien	n	domain
électronicien	affixed	ien	n	domain
esthéticien	affixed	ien	n	domain
galérien	affixed	ien	n	object
généticien	affixed	ien	n	domain
généticienne	affixed	ien	n	domain
grammairien	affixed	ien	n	domain
historien	affixed	ien	n	domain
hydraulicien	affixed	ien	n	domain
informaticien	affixed	ien	n	domain
logicien	affixed	ien	n	domain
logisticien	affixed	ien	n	domain
magicien	affixed	ien	n	domain
magicienne	affixed	ien	n	domain
marathonien	affixed	ien	n	action
marathonienne	affixed	ien	n	action
mathématicien	affixed	ien	n	domain
mécanicien	affixed	ien	n	domain
métaphysicien	affixed	ien	n	domain
musicien	affixed	ien	n	domain
nécromancien	affixed	ien	n	domain
neurochirurgien	affixed	ien	n	domain
opticien	affixed	ien	n	domain
pharmacien	affixed	ien	n	domain
phonéticien	affixed	ien	n	domain
physicien	affixed	ien	n	domain
plasticien	affixed	ien	n	domain
plasticienne	affixed	ien	n	domain
politicien	affixed	ien	n	domain
praticien	affixed	ien	n	domain
préhistorien	affixed	ien	n	domain
psychosomaticien	affixed	ien	n	domain
psychotechnicien	affixed	ien	n	domain
pyrotechnicien	affixed	ien	n	domain
statisticien	affixed	ien	n	domain
tacticien	affixed	ien	n	action
tacticienne	affixed	ien	n	action
technicien	affixed	ien	n	domain
théologien	affixed	ien	n	domain
théoricien	affixed	ien	n	domain
tragédien	affixed	ien	n	domain
