AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
aérostier	affixed	ier	n	object
ailier	affixed	ier	n	object
ambulancier	affixed	ier	n	object
anecdotier	affixed	ier	n	objCog
ânier	affixed	ier	n	object
animalier	affixed	ier	n	object
archer	affixed	ier	n	object
armurier	affixed	ier	n	object
artificier	affixed	ier	n	object
aventurier	affixed	ier	n	action
banquier	affixed	ier	n	domain
banquière	affixed	ier	n	domain
barbier	affixed	ier	n	object
batelier	affixed	ier	n	object
bâtonnier	affixed	ier	n	object
bijoutier	affixed	ier	n	object
bistrotier	affixed	ier	n	object
bistrotière	affixed	ier	n	object
boisselier	affixed	ier	n	object
bottier	affixed	ier	n	object
bouquetière	affixed	ier	n	object
bousier	affixed	ier	n	object
boutiquier	affixed	ier	n	object
braconnier	affixed	ier	v	action
brancardier	affixed	ier	n	object
briquetier	affixed	ier	n	object
bronzier	affixed	ier	n	object
brossier	affixed	ier	n	object
cabaretier	affixed	ier	n	object
cafetier	affixed	ier	n	object
caissier	affixed	ier	n	object
cancanier	affixed	ier	n	action
canonnier	affixed	ier	n	object
cantinier	affixed	ier	n	object
carabinier	affixed	ier	n	object
caravanier	affixed	ier	n	object
caravanière	affixed	ier	n	object
chamelier	affixed	ier	n	object
chapelier	affixed	ier	n	object
charpentier	affixed	ier	n	object
charretier	affixed	ier	n	object
chaudronnier	affixed	ier	n	object
chocolatier	affixed	ier	n	object
cigarettier	affixed	ier	n	object
cigarière	affixed	ier	n	object
cloutier	affixed	ier	n	object
cocher	affixed	ier	n	object
contrebandier	affixed	ier	n	action
costumier	affixed	ier	n	object
coulissier	affixed	ier	n	object
coutelier	affixed	ier	n	object
couturier	affixed	ier	n	action
crémier	affixed	ier	n	object
culottier	affixed	ier	n	object
dépensier	affixed	ier	n	action
douanier	affixed	ier	n	object
drapier	affixed	ier	n	object
échotier	affixed	ier	n	objCog
éclusier	affixed	ier	n	object
écolier	affixed	ier	n	institution
égoutier	affixed	ier	n	object
émeutier	affixed	ier	n	action
épicier	affixed	ier	n	object
faïencier	affixed	ier	n	object
fauconnier	affixed	ier	n	object
ferblantier	affixed	ier	n	object
fermier	affixed	ier	n	object
flibustier	affixed	ier	n	action
fontainier	affixed	ier	n	object
forestier	affixed	ier	n	object
fournier	affixed	ier	n	object
fripier	affixed	ier	n	object
friturier	affixed	ier	n	object
gantier	affixed	ier	n	object
gargotier	affixed	ier	n	object
geôlier	affixed	ier	n	object
gondolier	affixed	ier	n	object
grainetier	affixed	ier	n	object
greffier	affixed	ier	n	object
grutier	affixed	ier	n	object
guerrier	affixed	ier	n	action
guichetier	affixed	ier	n	object
horloger	affixed	ier	n	object
hôtelier	affixed	ier	n	object
huîtrier	affixed	ier	n	object
îlotier	affixed	ier	n	object
infirmier	affixed	ier	n	object
jardinier	affixed	ier	n	object
joaillier	affixed	ier	n	object
justicier	affixed	ier	n	domain
lainier	affixed	ier	n	object
lunetier	affixed	ier	n	object
luthier	affixed	ier	n	object
magasinier	affixed	ier	n	object
magasinière	affixed	ier	n	object
manouvrier	affixed	ier	n	action
marinier	affixed	ier	n	domain
maroquinier	affixed	ier	n	object
matelassier	affixed	ier	n	object
messager	affixed	ier	n	objCog
meurtrier	affixed	ier	n	action
miroitier	affixed	ier	n	object
missilier	affixed	ier	n	object
nattier	affixed	ier	n	object
officier	affixed	ier	n	object
officière	affixed	ier	n	object
oiselier	affixed	ier	n	object
ouvrier	affixed	ier	v	action
ouvrière	affixed	ier	v	action
panetier	affixed	ier	n	object
papetier	affixed	ier	n	object
parolier	affixed	ier	n	object
parolière	affixed	ier	n	objCog
passementier	affixed	ier	n	object
passementière	affixed	ier	n	object
pâtissier	affixed	ier	v	action
peaucier	affixed	ier	n	object
peaussier	affixed	ier	n	object
perruquier	affixed	ier	n	object
piquier	affixed	ier	n	object
pitancier	affixed	ier	n	object
placier	affixed	ier	n	object
plaisancier	affixed	ier	n	action
plâtrier	affixed	ier	n	object
pluvier	affixed	ier	n	object
poissonnier	affixed	ier	n	object
policière	affixed	ier	n	institution
pontonnier	affixed	ier	n	object
postier	affixed	ier	n	institution
potier	affixed	ier	n	object
poulinière	affixed	ier	v	action
préfacier	affixed	ier	n	objCog
procédurier	affixed	ier	n	action
quincaillier	affixed	ier	n	object
ratier	affixed	ier	n	object
rochassier	affixed	ier	n	object
romancier	affixed	ier	n	objCog
sabotier	affixed	ier	n	object
saisonnier	affixed	ier	n	object
savetier	affixed	ier	n	object
scaphandrier	affixed	ier	n	object
sellier	affixed	ier	n	object
serrurier	affixed	ier	n	object
sorcier	affixed	ier	n	action
sorcière	affixed	ier	n	action
sourcier	affixed	ier	n	object
soutier	affixed	ier	n	object
tapissier	affixed	ier	n	object
taulier	affixed	ier	n	object
tavernier	affixed	ier	n	object
terrassier	affixed	ier	v	action
timbalier	affixed	ier	n	object
timonier	affixed	ier	n	object
tôlier	affixed	ier	n	object
tonnelier	affixed	ier	n	object
tourière	affixed	ier	n	object
trésorier	affixed	ier	n	object
tripier	affixed	ier	n	object
usurier	affixed	ier	n	action
vannier	affixed	ier	n	object
vitrier	affixed	ier	n	object
