AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
accessoiriste	affixed	iste	n	object
accordéoniste	affixed	iste	n	domain
affairiste	affixed	iste	n	action
affichiste	affixed	iste	n	objCog
alchimiste	affixed	iste	n	domain
algébriste	affixed	iste	n	domain
aliéniste	affixed	iste	n	object
alpiniste	affixed	iste	n	object
anatomiste	affixed	iste	n	domain
anesthésiste	affixed	iste	n	action
anthropologiste	affixed	iste	n	domain
apologiste	affixed	iste	n	action
aquarelliste	affixed	iste	n	domain
archiviste	affixed	iste	n	object
arriviste	affixed	iste	v	action
artiste	affixed	iste	n	domain
attentiste	affixed	iste	n	action
aubergiste	affixed	iste	n	object
automobiliste	affixed	iste	n	object
bactériologiste	affixed	iste	n	domain
bagagiste	affixed	iste	n	object
bandagiste	affixed	iste	n	object
bassiste	affixed	iste	n	domain
biochimiste	affixed	iste	n	domain
biologiste	affixed	iste	n	domain
botaniste	affixed	iste	n	domain
bouquiniste	affixed	iste	n	objCog
caricaturiste	affixed	iste	n	objCog
catéchiste	affixed	iste	v	action
caviste	affixed	iste	n	object
céramiste	affixed	iste	n	domain
chauffagiste	affixed	iste	n	action
chimiste	affixed	iste	n	domain
choriste	affixed	iste	n	object
cibiste	affixed	iste	n	object
clarinettiste	affixed	iste	n	domain
claveciniste	affixed	iste	n	domain
coloriste	affixed	iste	n	property
concertiste	affixed	iste	n	action
conformiste	affixed	iste	v	action
congressiste	affixed	iste	n	action
contorsionniste	affixed	iste	n	action
contrebassiste	affixed	iste	n	domain
copiste	affixed	iste	v	action
corniste	affixed	iste	n	domain
courriériste	affixed	iste	n	objCog
criminaliste	affixed	iste	n	domain
criminologiste	affixed	iste	n	domain
curiste	affixed	iste	n	action
cycliste	affixed	iste	n	domain
cymbaliste	affixed	iste	n	domain
dentiste	affixed	iste	n	object
dermatologiste	affixed	iste	n	domain
dialoguiste	affixed	iste	n	objCog
diététiste	affixed	iste	n	domain
documentaliste	affixed	iste	n	objCog
documentariste	affixed	iste	n	objCog
droguiste	affixed	iste	n	object
duelliste	affixed	iste	n	action
duettiste	affixed	iste	n	action
ébéniste	affixed	iste	n	object
échographiste	affixed	iste	n	action
éclairagiste	affixed	iste	n	action
économiste	affixed	iste	n	domain
éditorialiste	affixed	iste	n	objCog
embryologiste	affixed	iste	n	domain
endocrinologiste	affixed	iste	n	domain
entomologiste	affixed	iste	n	domain
épéiste	affixed	iste	n	domain
épidémiologiste	affixed	iste	n	domain
épigraphiste	affixed	iste	n	domain
équilibriste	affixed	iste	n	property
essayiste	affixed	iste	n	objCog
étalagiste	affixed	iste	n	object
ethnobotaniste	affixed	iste	n	domain
étymologiste	affixed	iste	n	domain
excursionniste	affixed	iste	n	action
exhibitionniste	affixed	iste	n	action
exorciste	affixed	iste	v	action
fabuliste	affixed	iste	n	objCog
feuilletoniste	affixed	iste	n	objCog
finaliste	affixed	iste	n	action
fiscaliste	affixed	iste	n	domain
fleuriste	affixed	iste	n	object
flûtiste	affixed	iste	n	domain
folkloriste	affixed	iste	n	domain
fresquiste	affixed	iste	n	object
galeriste	affixed	iste	n	object
garagiste	affixed	iste	n	object
généalogiste	affixed	iste	n	domain
généraliste	affixed	iste	n	domain
germaniste	affixed	iste	n	domain
graphiste	affixed	iste	n	domain
gréviste	affixed	iste	n	action
grossiste	affixed	iste	n	domain
guitariste	affixed	iste	n	domain
harmoniciste	affixed	iste	n	domain
harpiste	affixed	iste	n	domain
helléniste	affixed	iste	n	domain
herboriste	affixed	iste	n	object
herpétologiste	affixed	iste	n	domain
humoriste	affixed	iste	n	domain
ichtyologiste	affixed	iste	n	domain
illusionniste	affixed	iste	n	action
immunologiste	affixed	iste	n	domain
instrumentiste	affixed	iste	n	object
interniste	affixed	iste	n	domain
ironiste	affixed	iste	n	domain
journaliste	affixed	iste	n	objCog
kayakiste	affixed	iste	n	domain
lampiste	affixed	iste	n	object
laryngologiste	affixed	iste	n	domain
latiniste	affixed	iste	n	domain
légiste	affixed	iste	n	objCog
librettiste	affixed	iste	n	objCog
linguiste	affixed	iste	n	domain
linotypiste	affixed	iste	n	object
liquoriste	affixed	iste	n	object
machiniste	affixed	iste	n	object
maquettiste	affixed	iste	n	object
marionnettiste	affixed	iste	n	object
médiéviste	affixed	iste	n	domain
méhariste	affixed	iste	n	object
mémorialiste	affixed	iste	n	objCog
métallurgiste	affixed	iste	n	domain
météorologiste	affixed	iste	n	domain
microbiologiste	affixed	iste	n	domain
miniaturiste	affixed	iste	n	object
modéliste	affixed	iste	n	object
modiste	affixed	iste	n	domain
motocycliste	affixed	iste	n	domain
neurobiologiste	affixed	iste	n	domain
neurologiste	affixed	iste	n	domain
nouvelliste	affixed	iste	n	objCog
nutritionniste	affixed	iste	n	domain
oculiste	affixed	iste	n	object
odontologiste	affixed	iste	n	domain
ophtalmologiste	affixed	iste	n	domain
optométriste	affixed	iste	n	domain
organiste	affixed	iste	n	domain
orthodontiste	affixed	iste	n	domain
orthopédiste	affixed	iste	n	domain
orthophoniste	affixed	iste	n	domain
paléontologiste	affixed	iste	n	domain
panégyriste	affixed	iste	n	objCog
parachutiste	affixed	iste	n	domain
pathologiste	affixed	iste	n	domain
paysagiste	affixed	iste	n	object
pénaliste	affixed	iste	n	domain
pépiniériste	affixed	iste	n	object
perchiste	affixed	iste	n	domain
percussionniste	affixed	iste	n	domain
philatéliste	affixed	iste	n	domain
physiologiste	affixed	iste	n	domain
physionomiste	affixed	iste	n	domain
pianiste	affixed	iste	n	domain
pigiste	affixed	iste	n	action
planchiste	affixed	iste	n	domain
polémiste	affixed	iste	n	objCog
pompiste	affixed	iste	n	object
pongiste	affixed	iste	n	domain
